日期,收盘,开盘,高,低,交易量,涨跌幅
2/7/23,2.76,2.73,2.81,2.72,140.54M,2.22%
2/6/23,2.7,2.77,2.78,2.67,215.39M,-3.57%
2/3/23,2.8,2.9,2.9,2.78,213.44M,-3.78%
2/2/23,2.91,3.05,3.06,2.9,161.07M,-3.96%
2/1/23,3.03,2.99,3.03,2.88,179.52M,3.06%
1/31/23,2.94,3,3.04,2.9,150.05M,-1.01%
1/30/23,2.97,3.17,3.18,2.96,313.80M,-8.33%
1/27/23,3.24,3.05,3.3,3,339.30M,6.23%
1/26/23,3.05,2.89,3.05,2.89,229.56M,5.90%
1/20/23,2.88,2.8,2.88,2.74,140.19M,3.60%
1/19/23,2.78,2.6,2.79,2.6,114.98M,4.91%
1/18/23,2.65,2.83,2.89,2.59,432.32M,-6.36%
1/17/23,2.83,2.88,2.9,2.79,155.31M,-1.39%
1/16/23,2.87,2.94,3,2.83,219.72M,-1.37%
1/13/23,2.91,2.86,2.92,2.8,276.05M,2.11%
1/12/23,2.85,2.95,2.97,2.83,168.98M,-2.40%
1/11/23,2.92,2.88,3.01,2.87,221.89M,0.69%
1/10/23,2.9,2.98,3.01,2.86,206.89M,-2.68%
1/9/23,2.98,3.09,3.12,2.93,260.59M,-1.65%
1/6/23,3.03,2.95,3.08,2.85,466.00M,5.94%
1/5/23,2.86,2.96,2.99,2.81,252.58M,-1.04%
1/4/23,2.89,2.69,2.9,2.69,489.88M,7.43%
1/3/23,2.69,2.61,2.72,2.52,219.62M,0.75%
